Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Volatility_30d
2024-10-17 04:00:00+00:00,139.3000599995,140.8496188038,136.8307667077,136.8907470703,306435900,0.0,0.0,0.008915433610042989,0.4414682256727141
2024-10-18 04:00:00+00:00,138.6302400334,138.8601698188,137.2406391711,137.96043396,176090200,0.0,0.0,0.007814165037397736,0.41592375567238987
2024-10-21 04:00:00+00:00,138.0904058252,143.6688079834,137.9604382121,143.6688079834,264554500,0.0,0.0,0.04137689234186581,0.41941940609751216
2024-10-22 04:00:00+00:00,142.8690455942,144.378607336,141.7393645713,143.5488433838,226311600,0.0,0.0,-0.0008350079692583945,0.4203809035520429
2024-10-23 04:00:00+00:00,141.9892821435,142.3891613713,137.4206001866,139.5199890137,285930000,0.0,0.0,-0.028066087299137843,0.3756583901001024
2024-10-24 04:00:00+00:00,140.779637099,141.3094839384,138.4203130527,140.3697509766,172354900,0.0,0.0,0.0060906108788221225,0.3736422354022565
2024-10-25 04:00:00+00:00,140.8895944153,144.0886893234,140.7596420534,141.499420166,205122100,0.0,0.0,0.008047810739425731,0.3732439183777185
2024-10-28 04:00:00+00:00,142.9590213787,143.0989806496,140.0098697928,140.4797363281,173586700,0.0,0.0,-0.007206275733877665,0.36760517233854273
2024-10-29 04:00:00+00:00,140.249771697,142.219208112,138.8601708246,141.2095031738,157593600,0.0,0.0,0.005194819301166609,0.3642437024989004
2024-10-30 04:00:00+00:00,139.4999884391,140.2897704957,136.7707753765,139.3000488281,179418100,0.0,0.0,-0.013522137694584546,0.36105435045339457
2024-10-31 04:00:00+00:00,137.5605633027,137.5705549447,132.07213151,132.7219390869,270039600,0.0,0.0,-0.04722259465477685,0.38033883911334304
2024-11-01 04:00:00+00:00,134.6613944537,137.2706470868,134.5314420822,135.3611907959,207127800,0.0,0.0,0.01988557225095966,0.3780142460525326
2024-11-04 05:00:00+00:00,137.1706727107,138.920171038,135.5311434598,136.0110015869,187528200,0.0,0.0,0.0048005694038240065,0.37789861981523915
2024-11-05 05:00:00+00:00,137.4105869313,140.3297478708,137.2906262194,139.8698883057,160537400,0.0,0.0,0.028371871935186643,0.3703867362980326
2024-11-06 05:00:00+00:00,142.9190184504,146.4480051389,141.9193051618,145.5682525635,242043900,0.0,0.0,0.040740464776418905,0.38166474983988763
2024-11-07 05:00:00+00:00,146.3480493601,148.8873147769,146.1281111837,148.8373413086,207323300,0.0,0.0,0.02245742933318473,0.38466762837055296
2024-11-08 05:00:00+00:00,148.7273649122,149.7270782996,146.218074547,147.5876922607,175665800,0.0,0.0,-0.008396072093957652,0.3783736015442055
2024-11-11 05:00:00+00:00,148.637355422,148.8073200947,143.528835471,145.2183380127,182325600,0.0,0.0,-0.016053874220180675,0.38375603996804586
2024-11-12 05:00:00+00:00,146.7379206702,149.6070930324,145.9681371384,148.2474822998,198634700,0.0,0.0,0.02085924084074753,0.3636209353885016
2024-11-13 05:00:00+00:00,149.0272734963,149.2871934707,145.8581688148,146.2280731201,191903300,0.0,0.0,-0.01362187841825313,0.3682341929823144
2024-11-14 05:00:00+00:00,147.5976633061,148.9572739334,145.5082662791,146.7179107666,194463300,0.0,0.0,0.0033498194706955697,0.35969378049131784
2024-11-15 05:00:00+00:00,144.8284560078,145.1983602893,140.0398361741,141.9392852783,250132900,0.0,0.0,-0.03257015768103377,0.37515790288883016
2024-11-18 05:00:00+00:00,139.4599947522,141.5094099124,137.110662574,140.1098022461,221205300,0.0,0.0,-0.012889194338360443,0.3744999477695309
2024-11-19 05:00:00+00:00,141.2794937524,147.0878257029,140.9495865262,146.9678497314,227834900,0.0,0.0,0.04894766372772397,0.3825104101560631
2024-11-20 05:00:00+00:00,147.3677435603,147.5176944559,142.6890773095,145.8481750488,309871700,0.0,0.0,-0.007618500812567874,0.3836005864815281
2024-11-21 05:00:00+00:00,149.3072000066,152.8461786741,140.6596700821,146.6279602051,400946600,0.0,0.0,0.005346554086392397,0.3817283195600712
2024-11-22 05:00:00+00:00,145.8881407865,147.1177990127,141.0595394268,141.909286499,236406200,0.0,0.0,-0.03218126815308375,0.3951503124284283
